iter	Passed	Remaining
0	9	944
1	10	511
2	11	362
3	12	289
4	13	251
5	14	227
6	15	208
7	16	193
8	18	183
9	19	171
10	20	162
11	21	155
12	22	152
13	24	147
14	25	141
15	25	136
16	26	131
17	27	127
18	29	124
19	29	119
20	30	115
21	31	112
22	32	109
23	33	106
24	34	104
25	36	103
26	37	102
27	39	100
28	39	97
29	40	95
30	41	93
31	42	91
32	43	89
33	44	87
34	45	85
35	46	83
36	47	81
37	48	79
38	50	78
39	52	78
40	53	77
41	54	74
42	54	72
43	56	71
44	56	69
45	58	68
46	58	66
47	59	64
48	60	63
49	61	61
50	63	61
51	65	60
52	67	59
53	67	57
54	68	56
55	69	54
56	70	53
57	71	51
58	72	50
59	73	48
60	74	47
61	75	46
62	76	44
63	77	43
64	79	43
65	81	42
66	82	40
67	83	39
68	84	38
69	85	36
70	86	35
71	87	33
72	88	32
73	88	31
74	89	29
75	90	28
76	92	27
77	101	28
78	102	27
79	103	25
80	104	24
81	107	23
82	109	22
83	110	21
84	111	19
85	112	18
86	113	16
87	114	15
88	115	14
89	115	12
90	116	11
91	117	10
92	118	8
93	118	7
94	120	6
95	122	5
96	122	3
97	124	2
98	124	1
99	125	0
