iter	Passed	Remaining
0	147	147638
1	149	74523
2	150	50177
3	152	37956
4	153	30632
5	155	25763
6	156	22263
7	159	19732
8	161	17812
9	163	16222
10	165	14877
11	166	13732
12	168	12775
13	169	11955
14	171	11258
15	172	10629
16	174	10078
17	175	9590
18	177	9153
19	178	8763
20	180	8409
21	181	8084
22	183	7788
23	185	7525
24	187	7299
25	189	7083
26	190	6879
27	193	6715
28	194	6520
29	200	6496
30	202	6340
31	204	6187
32	205	6033
33	207	5891
34	208	5753
35	209	5621
36	211	5495
37	212	5377
38	213	5273
39	215	5171
40	217	5098
41	219	4999
42	220	4907
43	221	4814
44	222	4726
45	223	4641
46	224	4555
47	225	4477
48	226	4403
49	227	4326
50	228	4252
51	229	4181
52	230	4113
53	231	4052
54	232	3994
55	233	3934
56	234	3875
57	235	3817
58	235	3761
59	236	3707
60	237	3654
61	238	3604
62	239	3554
63	239	3507
64	240	3462
65	241	3418
66	242	3374
67	243	3332
68	243	3291
69	244	3254
70	246	3222
71	247	3188
72	248	3152
73	248	3114
74	249	3079
75	250	3044
76	251	3010
77	251	2977
78	252	2946
79	253	2915
80	254	2885
81	255	2855
82	255	2822
83	256	2794
84	257	2767
85	257	2740
86	258	2714
87	259	2690
88	260	2666
89	261	2644
90	262	2624
91	263	2601
92	264	2579
93	265	2555
94	265	2533
95	266	2512
96	267	2490
97	268	2469
98	269	2449
99	269	2428
100	270	2409
101	271	2389
102	272	2370
103	273	2352
104	273	2333
105	274	2316
106	275	2301
107	276	2287
108	277	2271
109	278	2254
110	279	2238
111	280	2221
112	281	2206
113	281	2190
114	282	2175
115	283	2160
116	284	2144
117	285	2130
118	285	2116
119	286	2102
120	287	2088
121	288	2073
122	288	2059
123	289	2047
124	290	2035
125	291	2023
126	292	2009
127	293	1997
128	293	1984
129	294	1973
130	295	1962
131	296	1951
132	297	1942
133	298	1931
134	299	1919
135	300	1907
136	301	1896
137	301	1885
138	302	1874
139	303	1863
140	304	1852
141	304	1840
142	305	1831
143	306	1822
144	307	1815
145	308	1806
146	309	1796
147	310	1786
148	311	1776
149	311	1767
150	312	1758
151	313	1749
152	314	1739
153	315	1730
154	315	1721
155	316	1713
156	317	1704
157	318	1695
158	319	1687
159	319	1679
160	320	1670
161	321	1664
162	322	1657
163	323	1649
164	324	1641
165	325	1633
166	325	1625
167	326	1617
168	327	1609
169	328	1601
170	328	1594
171	329	1586
172	330	1579
173	331	1572
174	331	1565
175	332	1557
176	333	1550
177	334	1544
178	335	1538
179	336	1533
180	337	1528
181	338	1521
182	339	1514
183	339	1507
184	340	1501
185	341	1494
186	342	1487
187	343	1481
188	343	1475
189	344	1469
190	345	1463
191	346	1456
192	346	1450
193	347	1444
194	348	1438
195	349	1432
196	350	1427
197	351	1422
198	352	1418
199	353	1413
200	354	1407
201	354	1401
202	355	1396
203	356	1390
204	357	1384
205	357	1379
206	358	1373
207	359	1368
208	360	1362
209	360	1357
210	361	1352
211	362	1347
212	363	1341
213	363	1336
214	364	1332
215	365	1328
216	367	1324
217	367	1319
218	368	1314
219	369	1309
220	370	1305
221	371	1300
222	371	1295
223	372	1290
224	373	1285
225	373	1280
226	374	1275
227	375	1271
228	376	1266
229	376	1262
230	377	1257
231	378	1253
232	379	1248
233	380	1245
234	381	1242
235	382	1238
236	383	1234
237	384	1229
238	384	1225
239	385	1220
240	386	1216
241	386	1212
242	387	1207
243	388	1203
244	389	1199
245	389	1195
246	390	1191
247	391	1187
248	392	1183
249	393	1179
250	393	1175
251	394	1171
252	395	1168
253	396	1164
254	397	1161
255	398	1157
256	399	1153
257	399	1150
258	400	1146
259	401	1143
260	402	1140
261	403	1137
262	404	1133
263	405	1130
264	406	1126
265	406	1122
266	407	1118
267	408	1115
268	409	1111
269	410	1108
270	410	1105
271	412	1102
272	412	1099
273	413	1096
274	414	1092
275	415	1088
276	415	1085
277	416	1081
278	417	1078
279	418	1075
280	418	1071
281	419	1068
282	420	1064
283	421	1061
284	421	1058
285	422	1055
286	423	1052
287	424	1048
288	425	1046
289	426	1043
290	427	1040
291	428	1037
292	428	1034
293	429	1031
294	430	1028
295	431	1025
296	431	1022
297	432	1019
298	433	1015
299	434	1012
300	434	1009
301	435	1006
302	436	1004
303	437	1001
304	438	998
305	438	995
306	439	992
307	440	990
308	441	987
309	442	985
310	443	982
311	444	979
312	444	976
313	445	973
314	446	970
315	447	967
316	447	965
317	448	962
318	449	959
319	450	957
320	451	954
321	451	951
322	452	948
323	453	946
324	454	943
325	455	941
326	456	939
327	457	936
328	458	934
329	458	931
330	459	928
331	460	926
332	461	923
333	461	920
334	462	918
335	463	915
336	464	913
337	464	910
338	465	908
339	466	905
340	467	903
341	468	900
342	468	898
343	469	895
344	470	893
345	471	891
346	472	889
347	473	886
348	474	884
349	474	881
350	475	879
351	476	876
352	477	874
353	477	871
354	478	869
355	479	867
356	480	864
357	481	862
358	481	860
359	482	857
360	483	855
361	484	853
362	485	851
363	486	849
364	487	847
365	487	845
366	488	842
367	489	840
368	490	838
369	491	836
370	492	835
371	493	833
372	494	831
373	495	829
374	496	827
375	496	824
376	497	822
377	498	820
378	499	817
379	500	815
380	501	814
381	502	812
382	503	810
383	504	808
384	504	806
385	505	804
386	506	802
387	507	800
388	508	798
389	509	796
390	510	794
391	510	792
392	511	790
393	512	788
394	513	786
395	514	785
396	515	783
397	516	781
398	517	779
399	518	777
400	519	775
401	519	773
402	520	771
403	521	769
404	522	767
405	523	765
406	523	763
407	524	761
408	525	759
409	526	758
410	527	756
411	529	755
412	530	753
413	531	751
414	531	749
415	532	747
416	533	745
417	534	744
418	535	742
419	536	740
420	536	738
421	537	736
